tave,tmin,tmax,heat_index,pr,wind_speed,rh,solar_rad,uv_rad,dentist_nearest,doctors_nearest,hospital_nearest,optician_nearest,pharmacy_nearest,pop_count_total,pop_density_mean,dentist_count,doctors_count,hospital_count,optician_count,pharmacy_count,case_total
24.90,23.05,27.55,25.77,2.20,5.23,74.81,154.55,18.75,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,4.00,0.00,8.00,4.00,72.00,0.00
24.67,22.73,27.29,25.38,0.00,4.65,72.92,158.34,19.29,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,4.00,0.00
24.63,22.76,27.25,25.46,6.40,5.20,75.66,153.93,18.64,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,12.00,4.00,24.00,4.00,72.00,0.00
25.38,23.15,28.33,26.46,0.00,3.72,74.96,178.14,21.64,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,7.00,0.00,14.00,7.00,126.00,10.00
25.27,23.12,28.03,26.20,0.00,3.10,73.44,180.83,21.71,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,7.00,9.00
25.11,22.86,28.09,26.13,0.00,3.75,75.59,179.22,21.71,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,21.00,7.00,42.00,7.00,126.00,16.00
25.03,23.01,27.70,26.01,2.22,3.15,75.34,151.82,18.29,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,7.00,0.00,14.00,7.00,126.00,15.00
24.81,22.92,27.14,25.57,1.60,3.02,74.12,158.43,18.94,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,7.00,4.00
24.75,22.73,27.41,25.68,1.95,3.19,75.99,152.39,18.30,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,21.00,7.00,42.00,7.00,126.00,13.00
25.49,23.31,28.39,26.67,0.00,2.76,73.89,185.24,22.03,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,7.00,0.00,14.00,7.00,126.00,10.00
25.13,22.95,27.65,26.09,0.00,2.30,73.34,184.77,21.78,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,7.00,5.00
25.25,23.00,28.26,26.37,0.00,2.72,74.55,185.86,22.07,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,21.00,7.00,42.00,7.00,126.00,15.00
25.83,23.29,29.04,26.96,0.00,2.89,73.17,192.50,23.46,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,6.00,0.00,12.00,6.00,108.00,13.00
25.59,23.29,28.20,26.50,0.00,2.42,71.60,197.69,23.82,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,6.00,7.00
25.54,22.97,28.78,26.61,0.00,2.92,73.78,193.40,23.52,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,18.00,6.00,36.00,6.00,108.00,19.00
25.26,23.71,27.19,26.00,0.00,5.48,70.46,203.85,23.08,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,1.00,0.00,2.00,1.00,18.00,0.00
24.77,23.22,26.68,25.37,0.00,4.58,70.79,209.34,23.63,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,1.00,0.00
24.94,23.43,26.83,25.60,0.00,5.48,70.80,204.98,23.15,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,3.00,1.00,6.00,1.00,18.00,0.00
25.58,22.63,29.32,26.42,0.00,3.04,69.39,204.86,23.63,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,7.00,0.00,14.00,7.00,126.00,7.00
24.99,22.38,28.22,25.59,0.00,2.35,68.88,205.75,24.07,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,7.00,2.00
25.23,22.24,29.03,26.01,0.00,3.04,69.94,206.69,23.76,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,21.00,7.00,42.00,7.00,126.00,17.00
26.13,23.90,29.11,27.49,0.00,3.09,74.81,170.56,20.57,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,7.00,0.00,14.00,7.00,126.00,4.00
